FECHA,HORA,MODALIDAD,CANT_FALLECIDOS,CANT_HERIDOS,LATITUD,LONGITUD,DEPARTAMENTO,PROVINCIA,DISTRITO
2020-01-28,07:35:00,CHOQUE,0,6,-11.33655,-77.46642,LIMA,HUAURA,HUACHO
2020-01-28,16:00:00,CHOQUE,0,3,-16.546094,-72.592753,AREQUIPA,CAMANA,SAMUEL PASTOR
2020-01-28,18:50:00,CHOQUE,0,4,-13.936,-75.849,ICA,ICA,SALAS-ICA
2020-01-28,23:45:00,CHOQUE,1,1,-6.020526069,-77.22696819,SAN MARTIN,RIOJA,RIOJA
2020-01-29,00:10:00,VOLCADURA,0,0,-16.46577074,-71.69465628,AREQUIPA,AREQUIPA,UCHUMAYO
2020-01-29,19:00:00,CHOQUE,0,0,-11.598558,-76.183144,JUNIN,YAULI,MOROCOCHA
2020-01-29,18:30:00,CHOQUE,0,0,-11.81443505,-76.35557031,LIMA,HUAROCHIRI,MATUCANA
2020-01-30,17:27:00,CHOQUE,0,0,-13.88027009,-76.11796489,ICA,PISCO,SAN ANDRES
2020-01-30,22:50:00,CHOQUE,0,0,-6.532419317,-80.03104773,LAMBAYEQUE,LAMBAYEQUE,MORROPE
2020-01-30,05:40:00,CHOQUE,1,2,-12.153084,-76.98364,LIMA,LIMA,SAN JUAN DE MIRAFLORES
2020-01-30,14:30:00,CHOQUE,0,5,-13.157,-74.235,AYACUCHO,HUAMANGA,AYACUCHO
2020-01-31,23:40:00,CHOQUE,0,0,-15.74341822,-74.45499024,AREQUIPA,CARAVELI,YAUCA
2020-01-31,22:00:00,CHOQUE,0,2,-12.4676544,-76.75060673,LIMA,CAÑETE,CHILCA
2020-01-31,18:45:00,CHOQUE,0,1,-10.69330564,-76.21081873,PASCO,PASCO,YANACANCHA
2020-01-31,21:54:00,DESPISTE,0,3,-6.737445,-78.522734,CAJAMARCA,HUALGAYOC,BAMBAMARCA
2020-01-31,06:30:00,DESPISTE,0,0,-11.789,-76.3355,LIMA,HUAROCHIRI,SAN MATEO
2020-01-31,07:24:00,CHOQUE,0,0,-12.042957,-77.0309566,LIMA,LIMA,LIMA
2020-01-31,14:10:00,CHOQUE,0,0,-10.65166613,-77.84690064,LIMA,BARRANCA,PARAMONGA
2020-01-31,12:05:00,INCENDIO,0,0,-4.731947,-81.021532,PIURA,TALARA,LA BREA
2020-01-31,02:10:00,DESPISTE,0,1,-10.869778,-77.686944,LIMA,BARRANCA,SUPE
2020-01-31,02:35:00,DESPISTE,0,1,-5.894730334,-78.24284367,AMAZONAS,UTCUBAMBA,JAMALCA
2020-01-31,09:30:00,CHOQUE,0,1,-11.066,-76.0001,JUNIN,JUNIN,JUNIN
2020-02-01,22:00:00,DESPISTE,0,0,-11.710466,-76.268863,LIMA,HUAROCHIRI,CHICLA
2020-02-01,09:20:00,CHOQUE,0,1,-17.25584,-71.226585,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
2020-02-01,14:30:00,CHOQUE,1,6,-14.483667,-75.330361,ICA,ICA,SANTIAGO-ICA
2020-02-01,08:30:00,DESPISTE,0,1,-15.83553779,-74.28975887,AREQUIPA,CARAVELI,CHALA
2020-02-02,02:40:00,CHOQUE,0,3,-12.56892,-76.697982,LIMA,CAÑETE,SAN ANTONIO
2020-02-02,05:30:00,CHOQUE,0,4,-11.596649,-76.143414,JUNIN,YAULI,MOROCOCHA
2020-02-02,08:10:00,DESPISTE,0,1,-12.455177,-76.75411,LIMA,CAÑETE,CHILCA
2020-02-02,07:30:00,CHOQUE,2,3,-16.8155,-72.2983,AREQUIPA,CAMANA,QUILCA
2020-02-02,14:10:00,DESPISTE,0,1,-16.54425865,-72.57906635,AREQUIPA,CAYLLOMA,MAJES
2020-02-02,15:30:00,CHOQUE,0,2,-11.732668,-76.26746,LIMA,HUAROCHIRI,CHICLA
2020-02-02,11:30:00,DESPISTE,0,1,-15.91851811,-74.12598478,AREQUIPA,CARAVELI,CHAPARRA
2020-02-02,20:30:00,CHOQUE,0,3,-12.56323907,-76.70375429,LIMA,CAÑETE,SAN ANTONIO
2020-02-02,16:45:00,CHOQUE,0,5,-11.119062,-75.345354,JUNIN,CHANCHAMAYO,SAN RAMON
2020-02-02,16:54:00,CHOQUE,0,1,-12.383889,-76.774444,LIMA,LIMA,SAN BARTOLO
2020-02-03,16:20:00,DESPISTE,0,0,-13.40223572,-76.19424221,ICA,CHINCHA,GROCIO PRADO
2020-02-03,05:30:00,CHOQUE,0,0,-13.336,-74.517,AYACUCHO,HUAMANGA,VINCHOS
2020-02-03,00:20:00,CHOQUE,0,7,-17.02765,-71.6477,AREQUIPA,ISLAY,COCACHACRA
2020-02-03,08:48:00,DESPISTE,1,0,-11.732701,-76.264717,LIMA,HUAROCHIRI,CHICLA
2020-02-03,10:40:00,DESPISTE,1,20,-11.60883904,-77.2383013,LIMA,HUARAL,AUCALLAMA
2020-02-03,07:55:00,CHOQUE,0,1,-11.601593,-76.197862,LIMA,HUAROCHIRI,CHICLA
2020-02-03,07:30:00,CHOQUE,0,2,-7.882657547,-79.12874855,LA LIBERTAD,ASCOPE,CHICAMA
2020-02-03,18:00:00,CHOQUE,0,0,-12.040698,-77.100296,CALLAO,CALLAO,CALLAO
2020-02-04,05:50:00,CHOQUE,0,0,-13.050613,-75.069592,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA-CASTROVIRREYNA
2020-02-04,00:30:00,CHOQUE,0,1,-12.074378,-77.007067,LIMA,LIMA,LA VICTORIA-LIMA
2020-02-04,10:20:00,ATROPELLO,0,1,-16.631111,-69.321944,PUNO,CHUCUITO,HUACULLANI
